,P1,P2,P3,P4,P5,HML
2020-03-31,-0.116769776409698,-0.12514536838294643,-0.11390409874841471,-0.09086984809396986,-0.09285314911943744,0.02391662729026056
2020-04-30,0.12625607792037918,0.12913036937761904,0.12563022768088236,0.11984978819497488,0.11658682729675676,-0.009669250623622422
2020-05-31,0.06726839047492462,0.05452481093981043,0.061851398708155335,0.06314793050035,0.06503669185112904,-0.002231698623795589
2020-06-30,0.07579984256949998,0.08421788707914692,0.08272069448398059,0.10222314787910447,0.08428988367840425,0.008490041108904264
2020-07-31,0.10506788665870645,0.10849143780234742,0.1035822498369903,0.09042677917492682,0.08320679163730159,-0.02186109502140486
2020-08-31,0.06478113134607842,0.04914486528493023,0.05583179139209525,0.08037765416241546,0.06463719482020726,-0.00014393652587116335
2020-09-30,-0.02326312621227053,-0.013081979307713962,-0.027264145744716983,-0.012442355061137441,-0.012869117957424243,0.010394008254846286
2020-10-31,0.02599551002748815,0.014969177669124423,0.01765697486542056,-0.003968685092314815,0.008049329793569378,-0.017946180233918772
2020-11-30,0.09761096577677725,0.09609070164200913,0.10684710497990653,0.06698906668602739,0.0794675543971831,-0.018143411379594146
2020-12-31,0.04011392190187793,0.036692448483954546,0.06676823555069768,0.07693239174109588,0.04435614493878505,0.0042422230369071195
2021-01-31,0.027704612093055556,0.0166223698560177,0.029140747663612902,0.03908748306454546,0.04480639443314814,0.017101782340092585
2021-02-28,0.05239547560829494,0.043096907413716815,0.02578833361196347,0.034961830616860985,0.04011927869907834,-0.012276196909216601
2021-03-31,0.016250608734862386,0.022894355012334805,0.006125465085520362,0.009837237044215246,0.009110878455733948,-0.007139730279128438
2021-04-30,0.047325510893348625,0.05055937958565789,0.0508438308529148,0.08008156392513273,0.053426953633031675,0.0061014427396830495
2021-05-31,0.04097459747636771,0.05112075327854077,0.04756279858311111,0.0641282511948052,0.05972030431725664,0.01874570684088893
2021-06-30,0.04229946365316594,0.06599415086822034,0.05080200049292035,0.03870490530146552,0.0994173655489083,0.05711790189574236
2021-07-31,-0.002982049517521364,0.010684566898326362,0.023113854167543864,-0.012813282817735045,-0.011883831673939397,-0.008901782156418032
2021-08-31,0.05426485548830509,0.04278529944041841,0.024159534038369096,0.04321232494949367,0.039559352022317605,-0.014705503465987486
2021-09-30,-0.027449344403941908,-0.021578815573333337,-0.011593323077136751,-0.005586904875146445,-0.00229367155720339,0.025155672846738517
2021-10-31,0.02188846014032922,0.026902728905040984,0.02690616890042553,0.026777720009166665,0.004507877370833333,-0.017380582769495886
2021-11-30,0.012909160414567902,0.041335012575346934,0.03694094757135593,0.045409953478008296,0.060313744532510295,0.04740458411794239
2021-12-31,0.02466017806888889,0.01645925233064516,0.005181490925104602,0.020956509231120333,0.014419972510285714,-0.010240205558603175
2022-01-31,-0.0924311109308943,-0.08996539513036143,-0.09017396707208333,-0.09369013321818181,-0.05297201975500001,0.039459091175894294
2022-02-28,0.01675361766882591,0.021250061070240002,0.01679692030826446,0.007201635769135805,-0.005259764621694778,-0.02201338229052069
2022-03-31,-0.02987830908556452,-0.02373474327568,-0.04440935510761315,-0.04092426137510204,-0.024379887436526106,0.005498421649038413
2022-04-30,-0.0867998068004016,-0.08127158601912349,-0.08413135062382114,-0.08475360067429719,-0.051781811980008,0.0350179948203936
2022-05-31,0.034302445800396826,0.04314480214183267,0.04579016479311741,0.053153805618326694,0.03334024141400801,-0.000962204386388818
2022-06-30,0.015231172332015814,0.027555184757768924,0.061061471253467746,0.04296391467011952,0.047813302199601594,0.03258212986758578
2022-07-31,0.04882240961126483,0.04406754126753969,0.037845685285200006,0.04683381803873015,0.01644778671011858,-0.03237462290114625
2022-08-31,-0.01009441155590551,-0.01568281784246032,-0.008918525543876983,-0.019783824966929136,0.009934419340885826,0.020028830896791337
2022-09-30,-0.08474348271992188,-0.07317527448425196,-0.0720177672954365,-0.07674788295988236,-0.04206783559246094,0.04267564712746094
2022-10-31,0.057699346084108524,0.0487444164940625,0.040259456539370075,0.035532510690310076,0.033563863103515626,-0.0241354829805929
2022-11-30,0.07974003887286822,0.062246938292890616,0.0841685387015748,0.08630610716143411,0.11310401264687497,0.03336397377400675
2022-12-31,-0.0075910434194573625,-0.02431701115511719,-0.02594306023287402,-0.010180188464457363,-0.008142067108203126,-0.0005510236887457639
2023-01-31,0.07236547790697674,0.07805566002773437,0.0837085493488189,0.06901925520968992,0.04230359320679687,-0.03006188470017987
2023-02-28,-0.011241165676744186,-0.018300469707070312,-0.0202996582988189,-0.0063731993785658934,-0.009598147157031249,0.0016430185197129372
2023-03-31,0.005616067498832684,-0.0008933103067968733,-0.024203563366535435,-0.02188721047968992,-0.020626847253882353,-0.026242914752715035
2023-04-30,-0.014123252846459145,-0.011003988266796874,-0.02574330981574803,-0.02853793239728682,-0.005760867827165354,0.008362385019293792
2023-05-31,-0.020687514817120622,-0.015101622774050779,-0.01270902591059055,-0.02406519921,-0.02225096932440945,-0.0015634545072888278
2023-06-30,0.03489164948396887,0.03421332905710937,0.03247995424051181,0.01951675629011673,0.021237831069251967,-0.013653818414716901
2023-07-31,0.02530109826031128,0.020540041102578125,0.0314943181992126,0.017273841551595333,0.031336000457322835,0.006034902197011555
2023-08-31,-0.04917978105390625,-0.04630731981328125,-0.03987232910523622,-0.053457513348871596,-0.0276634881119685,0.021516292941937753
2023-09-30,-0.0294324344525,-0.023972642107812497,-0.031162065211535434,-0.017943006441463037,-0.01795194532976378,0.01148048912273622
2023-10-31,-0.039507377017226564,-0.039116080282421875,-0.0322904541515748,-0.025914811777937745,0.0060976029280632406,0.0456049799452898
2023-11-30,0.06809482433140623,0.0488166129628125,0.04413221586442687,0.03808012303501945,0.04052030074529645,-0.027574523586109782
2023-12-31,0.033399942675937495,0.021456947042812497,0.020867914943650794,0.003500060009533072,0.006150099475731224,-0.02724984320020627
2024-01-31,-0.09891042550039061,-0.1210052583875,-0.10832526843888887,-0.11801255262043506,-0.08512547828656128,0.013784947213829335
2024-02-29,0.07615261933007812,0.08742423268925781,0.07741353911765872,0.07574023403747081,0.05833955098498023,-0.01781306834509789
2024-03-31,0.018420645362499998,-0.0022230211572265603,0.019623325964285714,-0.0023197669679215693,-0.012936511633596838,-0.031357156996096834
2024-04-30,-0.0038087487617187495,-0.012577843446874999,-0.00195957303214286,0.011617115005725489,0.017875303106043478,0.021684051867762226
2024-05-31,0.0013655393046874999,0.0014079528277343763,0.008050135109523812,0.005611625878745098,0.008111536926877475,0.006745997622189975
